0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon2.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon1.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon3.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon4.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon1.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon2.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon3.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:03 +0800] "GET /jdbctest/assets/img/testimonials/icon4.jpg HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:05 +0800] "GET /jdbctest/login.jsp HTTP/1.1" 200 4471
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:06 +0800] "POST /jdbctest/loginverify.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:06 +0800] "GET /jdbctest/member.jsp HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:06 +0800] "GET /jdbctest/scripts/GetCookie.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [03/Feb/2023:09:47:06 +0800] "GET /jdbctest/scripts/jquery.min.js HTTP/1.1" 404 789
